Year,WorksType,Role,Name,Location,Url
2003,舞台,,エレファントバニッシュ,United Kingdom,https://h2col.notion.site/2a6cf09c429c43bdb8addc8a88e90a4f
2005,,,新シルクロード 第10集「西安 永遠の都」,Xi'an China,https://h2col.notion.site/87ed2498bf724146b3facc3cb2336b55
2006,,,ダ・ヴィンチ・コード ミステリースペシャル,"France, Israel, Egypt, Scotland",https://h2col.notion.site/5af2b9b547f7466499f76f93bd61be44
2009,TV,,トライアングル,Shanghai China,https://h2col.notion.site/284a8ffa6bf94bc7ac3d3b271ca818a2
2010,,,第60回ベルリン国際映画祭のパノラマ部門,Germany,https://h2col.notion.site/1808a08476c7809e9950dcc7bc82d3f2
2010,,,堺雅人 今を生きるネイティブアメリカンを訪ねて,United States,https://h2col.notion.site/a1501657681f4493ba59188afec9616f
2012,,,第15回上海国際映画祭,Shanghai China,https://h2col.notion.site/1478a08476c780fdb600db9050dad398
2012,,,知られざる大英博物館,United Kingdom,https://h2col.notion.site/2203f045b2db4fc8a6c0cc2a4acd2ea4
2012,,,第55回アジア太平洋映画祭,Macau China,https://h2col.notion.site/1478a08476c780fa9fa4eab79af97a4f
2023,TV,主演,VIVANT (2023),Mongolia,https://h2col.notion.site/1b68a08476c780e78f0fe8e8e8441e1b
2025,,,エジプト 悠久の王国,Egypt,https://h2col.notion.site/1be8a08476c780e18016e1fedaa8282f
2026,TV,主演,VIVANT (2026),"Azerbaijan, Thailand",https://h2col.notion.site/1b68a08476c780e78f0fe8e8e8441e1b
